Date,New_cases,Death
Mar-16,3,0
Mar-17,0,0
Mar-18,4,1
Mar-19,4,0
Mar-20,2,0
Mar-21,4,1
Mar-22,3,0
Mar-23,6,1
Mar-24,6,1
Mar-25,0,1
Mar-26,5,0
Mar-27,4,0
Mar-28,0,0
Mar-29,0,0
Mar-30,1,0
Mar-31,2,0
Apr-01,3,1
Apr-02,2,0
Apr-03,5,0
Apr-04,9,2
Apr-05,18,1
Apr-06,35,3
Apr-07,41,5
Apr-08,54,3
Apr-09,112,1
Apr-10,94,6
Apr-11,58,3
Apr-12,139,4
Apr-13,182,5
Apr-14,209,7
Apr-15,219,4
Apr-16,341,10
Apr-17,266,15
Apr-18,306,9
Apr-19,312,7
Apr-20,492,10
